name_on_tree,SNP_counts
CGT2049,6
CGT2054,20
CGT2060,10
CGT2103,2
CGT2123,28
CGT2149,4
CGT2164,9
CGT2202,16
CGT2211,15
CGT2224,4
CGT2235,9
CGT2260,8
CGT2278,4
CGT2282,13
CGT2321,10
CGT2330,8
CGT2347,0
CGT2348,4
CGT2371,8
CGT2375,6
CGT2378,8
CGT2406,13
CGT2448,1
CGT2477,5
CGT2483,11
CGT2486,9
CGT2490,4
CGT2491,5
CGT2550,6
CGT2564,18
CGT2582,14
CGT2587,8
CGT2648,6
CGT2681,28
CGT2682,31
CGT2704,1
CGT2726,14
CGT2730,6
CGT2761,17
CGT2779,5
CGT2795,6
CGT2798,2
CGT2849,8
CGT2867,6
CGT2877,9
CGT2901,11
CGT2902,11
CGT2907,9
CGT2984,11
CGT2998,2
